age,height_cm,weight_kg,dominant_hand,sport_years,level,goal,knee_injury,ankle_injury,back_injury,shoulder_injury,reflex,agility,endurance,explosiveness,stress_tolerance,label_weapon
26,150,53,چپ,3,متوسط,سلامتی,2,0,3,2,1,1,1,3,2,سابر
21,173,74,چپ,1,متوسط,تفریحی,1,0,3,0,2,3,1,3,1,اپه
17,179,69,چپ,0,متوسط,سلامتی,1,3,0,3,3,1,3,3,1,سابر
14,150,86,چپ,0,مبتدی,سلامتی,3,0,1,2,3,1,2,2,2,اپه
17,188,61,راست,2,مبتدی,مسابقه‌ای,3,1,0,1,3,1,1,3,1,فلوره
17,162,86,راست,0,پیشرفته,تفریحی,3,2,3,3,2,2,2,1,2,اپه
23,185,50,چپ,0,متوسط,مسابقه‌ای,0,2,0,1,3,3,2,1,2,اپه
29,150,60,راست,3,پیشرفته,مسابقه‌ای,1,2,2,3,3,3,3,1,2,سابر
25,164,51,راست,2,پیشرفته,تفریحی,3,2,3,0,1,3,1,3,3,سابر
17,163,80,راست,2,پیشرفته,مسابقه‌ای,3,1,0,0,1,1,3,3,1,فلوره
17,164,82,راست,3,متوسط,تفریحی,2,1,1,1,1,1,1,2,2,سابر
23,166,69,چپ,0,مبتدی,تفریحی,3,3,1,2,2,2,1,1,2,سابر
22,165,61,راست,1,متوسط,مسابقه‌ای,0,0,1,0,3,3,1,3,3,سابر
27,155,73,چپ,0,مبتدی,تفریحی,2,2,3,1,2,1,1,3,2,اپه
17,170,79,چپ,3,متوسط,سلامتی,1,3,3,2,3,3,1,2,3,اپه
21,189,71,چپ,4,پیشرفته,مسابقه‌ای,0,1,1,0,1,1,3,2,3,اپه
28,166,58,چپ,1,متوسط,تفریحی,3,0,3,0,1,1,1,2,1,سابر
28,179,83,راست,1,متوسط,تفریحی,1,2,1,1,1,1,2,2,3,اپه
21,189,61,راست,1,پیشرفته,مسابقه‌ای,0,3,3,1,2,2,3,2,2,اپه
16,182,77,چپ,4,متوسط,سلامتی,2,0,2,3,1,3,1,3,1,فلوره
29,153,58,راست,3,متوسط,مسابقه‌ای,3,0,3,0,2,3,2,1,1,فلوره
25,178,86,چپ,0,پیشرفته,مسابقه‌ای,2,0,0,2,1,3,3,1,2,اپه
19,150,58,چپ,3,مبتدی,تفریحی,1,2,2,0,3,2,2,3,2,سابر
17,180,68,چپ,1,پیشرفته,مسابقه‌ای,1,0,2,3,1,3,1,3,2,سابر
23,163,56,راست,0,متوسط,تفریحی,3,0,0,2,1,2,1,3,2,فلوره
23,152,66,راست,2,متوسط,تفریحی,0,0,0,1,3,3,2,1,2,اپه
23,173,77,چپ,1,متوسط,مسابقه‌ای,2,3,1,1,2,3,1,1,1,اپه
18,153,51,راست,4,مبتدی,تفریحی,0,3,2,1,1,3,1,3,2,فلوره
25,185,69,راست,2,متوسط,مسابقه‌ای,2,1,3,3,1,1,3,2,2,فلوره
21,174,86,چپ,3,پیشرفته,سلامتی,0,0,1,0,1,3,1,1,2,اپه
